hostname,dst-address,gateway,comment,error
192.168.4.189,192.168.49.0/24,10.10.10.49,zabbix,timed out
192.168.5.189,192.168.50.0/24,10.10.10.50,zabbix,timed out
192.168.6.189,192.168.45.0/24,10.10.10.45,zabbix,timed out
192.168.7.189,192.168.46.0/24,10.10.10.46,zabbix,timed out
192.168.8.189,192.168.47.0/24,10.10.10.47,zabbix,timed out
192.168.9.189,192.168.48.0/24,10.10.10.48,zabbix,timed out
192.168.8.189,192.168.49.0/24,10.10.10.49,zabbix,timed out
192.168.8.189,192.168.50.0/24,10.10.10.50,zabbix,timed out
